Date,CCI,Inflation,Private Consumption,UPI Transactions,Repo Rate,Per Capita NNI
4/1/2017,98.05,0.03,587741.65,0.01,0.06,4812
5/1/2017,100,0.02,587741.65,0.01,0.06,6737.38
6/1/2017,96.8,0.02,587741.65,0.01,0.06,6737.38
7/1/2017,96.67,0.02,579651.11,0.01,0.06,5774.9
8/1/2017,96.53,0.03,579651.11,0.02,0.06,6737.38
9/1/2017,96.4,0.03,579651.11,0.03,0.06,7699.87
10/1/2017,98.6,0.04,630680.7,0.08,0.06,6737.38
11/1/2017,92,0.05,630680.7,0.11,0.06,7699.87
12/1/2017,97.7,0.05,630680.7,0.15,0.06,8662.35
1/1/2018,97,0.05,645502.7,0.15,0.06,8662.35
2/1/2018,96.3,0.04,645502.7,0.17,0.06,7699.87
3/1/2018,95.6,0.04,645502.7,0.18,0.06,9624.84
4/1/2018,96.3,0.05,624799.23,0.19,0.06,5062.25
5/1/2018,94.2,0.05,624799.23,0.19,0.06,7087.15
6/1/2018,98.3,0.05,624799.23,0.25,0.06,7087.15
7/1/2018,97.13,0.04,629419.5,0.27,0.06,6074.7
8/1/2018,95.97,0.04,629419.5,0.31,0.07,7087.15
9/1/2018,94.8,0.04,629419.5,0.41,0.07,8099.6
10/1/2018,95.25,0.03,677800.91,0.48,0.07,7087.15
11/1/2018,93.9,0.02,677800.91,0.52,0.07,8099.6
12/1/2018,96.7,0.02,677800.91,0.62,0.07,9112.05
1/1/2019,99.33,0.02,684795,0.67,0.07,9112.05
2/1/2019,101.97,0.03,684795,0.67,0.06,8099.6
3/1/2019,104.6,0.03,684795,0.8,0.06,10124.51
4/1/2019,108.25,0.03,669637.58,0.78,0.06,5187.91
5/1/2019,97.3,0.03,669637.58,0.73,0.06,7263.08
6/1/2019,98.1,0.03,669637.58,0.75,0.06,7263.08
7/1/2019,95.7,0.03,668119.39,0.82,0.05,6225.49
8/1/2019,98.85,0.03,668119.39,0.92,0.05,7263.08
9/1/2019,89.4,0.04,668119.39,0.96,0.05,8300.66
10/1/2019,91.25,0.05,718344.34,1.15,0.05,7263.08
11/1/2019,85.7,0.06,718344.34,1.22,0.05,8300.66
12/1/2019,86.7,0.07,718344.34,1.31,0.05,9338.24
1/1/2020,83.7,0.08,695971.27,1.31,0.05,9338.24
2/1/2020,82.75,0.07,695971.27,1.33,0.05,8300.66
3/1/2020,85.6,0.06,695971.27,1.25,0.04,10375.82
4/1/2020,96.55,0.07,516249.62,1,0.04,4727.14
5/1/2020,63.7,0.06,516249.62,1.23,0.04,6618
6/1/2020,68.65,0.06,516249.62,1.34,0.04,6618
7/1/2020,53.8,0.07,618632.24,1.5,0.04,5672.57
8/1/2020,55.75,0.07,618632.24,1.62,0.04,6618
9/1/2020,49.9,0.07,618632.24,1.8,0.04,7563.43
10/1/2020,48.7,0.08,729178.31,2.07,0.04,6618
11/1/2020,52.3,0.07,729178.31,2.21,0.04,7563.43
12/1/2020,50.7,0.05,729178.31,2.23,0.04,8508.86
1/1/2021,55.5,0.04,742442.68,2.3,0.04,8508.86
2/1/2021,55.8,0.05,742442.68,2.29,0.04,7563.43
3/1/2021,54.9,0.06,742442.68,2.73,0.04,9454.29
4/1/2021,57.45,0.04,609431.93,2.64,0.04,5167.8
5/1/2021,49.8,0.06,609431.93,2.54,0.04,7234.92
6/1/2021,49.95,0.06,609431.93,2.81,0.04,7234.92
7/1/2021,49.5,0.06,703065.26,3.25,0.04,6201.36
8/1/2021,44.9,0.05,703065.26,3.56,0.04,7234.92
9/1/2021,58.7,0.04,703065.26,3.65,0.04,8268.48
10/1/2021,56.35,0.05,809699.48,4.22,0.04,7234.92
11/1/2021,63.4,0.05,809699.48,4.19,0.04,8268.48
12/1/2021,62.9,0.06,809699.48,4.57,0.04,9302.04
1/1/2022,64.4,0.06,788661.14,4.62,0.04,9302.04
2/1/2022,60.75,0.06,788661.14,4.53,0.04,8268.48
3/1/2022,71.7,0.07,788661.14,5.41,0.04,10335.6
4/1/2022,69.6,0.08,727368.42,5.58,0.04,5461.76
5/1/2022,75.9,0.07,727368.42,5.96,0.04,7646.46
6/1/2022,75.2,0.07,727368.42,5.86,0.05,7646.46
7/1/2022,77.3,0.07,766214.68,6.29,0.05,6554.11
8/1/2022,75.65,0.07,766214.68,6.58,0.05,7646.46
9/1/2022,80.6,0.07,766214.68,6.78,0.06,8738.81
10/1/2022,79.15,0.07,829193.61,7.31,0.06,7646.46
11/1/2022,83.5,0.06,829193.61,7.31,0.06,8738.81
12/1/2022,82.85,0.06,829193.61,7.83,0.06,9831.16
1/1/2023,84.8,0.07,805537.58,8.04,0.07,9831.16
2/1/2023,83.7,0.06,805537.58,7.53,0.07,8738.81
3/1/2023,87,0.06,805537.58,8.69,0.07,10923.52
4/1/2023,86.25,0.05,781300.93,8.86,0.07,5865.05
5/1/2023,88.5,0.04,781300.93,9.42,0.07,8211.08
6/1/2023,88.7,0.05,781300.93,9.34,0.07,8211.08
7/1/2023,88.1,0.07,788846.25,9.96,0.07,7038.07
8/1/2023,86.05,0.07,788846.25,10.59,0.07,8211.08
9/1/2023,92.2,0.05,788846.25,10.56,0.07,9384.09
10/1/2023,92.2,0.05,876378.32,11.41,0.07,8211.08
11/1/2023,92.21,0.06,876378.32,11.24,0.07,9384.09
12/1/2023,90.78,0.06,876378.32,12.02,0.07,10557.1
1/1/2024,95.06,0.05,855732.66,12.2,0.07,10557.1
2/1/2024,93.32,0.05,855732.66,12.1,0.07,9384.09
3/1/2024,98.54,0.05,855732.66,13.44,0.07,11730.11
4/1/2024,99.24,0.05,845972.42,13.3,0.07,6173.52
5/1/2024,97.15,0.05,845972.42,14.04,0.07,8642.92
6/1/2024,98.77,0.05,845972.42,13.89,0.07,8642.92
7/1/2024,93.9,0.04,839417.86,14.44,0.07,7408.22
8/1/2024,93.52,0.04,839417.86,14.96,0.07,8642.92
9/1/2024,94.67,0.06,839417.86,15.04,0.07,9877.63
10/1/2024,95.02,0.06,947789.45,16.58,0.07,8642.92
11/1/2024,93.95,0.05,947789.45,15.48,0.07,9877.63
12/1/2024,94.06,0.05,947789.45,16.73,0.07,11112.33
1/1/2025,93.74,0.04,906679.79,17,0.07,11112.33
2/1/2025,92.83,0.04,906679.79,16.11,0.06,9877.63
3/1/2025,95.55,0.03,906679.79,18.3,0.06,12347.03
4/1/2025,,0.03,,17.89,0.06,
5/1/2025,,0.03,,18.68,0.06,
6/1/2025,,0.02,,18.40,0.055,
7/1/2025,,0.02,,19.47,0.055,
8/1/2025,,0.02,,20.01,0.055,
9/1/2025,,0.02,,19.63,0.055,
10/1/2025,,,,,0.055,
